evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
usp2021cgux;2021-02-02T04:26:31.0Z;-59.576;2.763;0.0;3.7;mR;"Guyana";marcelo;M
usp2021cfmx;2021-02-01T11:16:18.0Z;-59.582;2.725;0.0;2.7;MLv;"Guyana";jroberto;M
usp2021ceiu;2021-01-31T20:03:45.0Z;-59.589;2.825;0.0;3.8;mR;"Guyana";marcelo;M
usp2021ceii;2021-01-31T19:48:46.0Z;-59.537;2.743;0.0;3.9;mR;"Guyana";jroberto;M
usp2021cehx;2021-01-31T19:36:48.689Z;-59.602;2.749;0.0;3.8;mR;"Guyana";jroberto;M
usp2021cehv;2021-01-31T19:34:45.0Z;-59.474;2.736;0.0;3.2;MLv;"Guyana";marcelo;M
usp2021cehu;2021-01-31T19:32:31.89Z;-59.582;2.725;0.0;3.7;mR;"Guyana";marcelo;M
usp2021cehn;2021-01-31T19:24:30.0Z;-59.586;2.726;0.0;3.3;MLv;"Guyana";jroberto;M
usp2021cehl;2021-01-31T19:22:53.0Z;-59.586;2.726;0.0;2.8;MLv;"Guyana";jroberto;M
usp2021cehj;2021-01-31T19:20:41.0Z;-59.586;2.726;0.0;3.4;MLv;"Guyana";jroberto;M
usp2021cegw;2021-01-31T19:05:13.541Z;-59.570;2.645;0.0;5.6;mb;"Guyana";marcelo;M
usp2021ceaf;2021-01-31T15:42:50.631Z;-40.014;-9.884;0.0;2.4;mR;"Jaguarari/BA";jroberto;M
usp2021cajh;2021-01-29T15:46:07.125Z;-74.135;-8.490;165.3;4.2;mb;"Peru-Brazil Border Region";marcelo;M
usp2021caiz;2021-01-29T15:36:55.18Z;-37.561;-4.857;0.0;1.5;mR;"Jaguaruana/CE";jroberto;M
usp2021bysn;2021-01-28T18:08:47.834Z;-48.811;-20.879;0.0;2.8;mR;"Cajobi/SP";jroberto;M
usp2021byeh;2021-01-28T10:57:50.119Z;-45.587;-19.456;0.0;2.0;mR;"Dores do Indaia/MG";jroberto;M
usp2021bwim;2021-01-27T10:48:15.802Z;-39.262;-4.093;0.0;1.7;mR;"Paramoti/CE";jroberto;M
usp2021bwdv;2021-01-27T08:27:50.390Z;-39.242;-4.060;0.0;1.9;mR;"Paramoti/CE";jroberto;M
usp2021bvuu;2021-01-27T03:53:07.856Z;-38.485;-4.284;0.0;1.5;mR;"Chorozinho/CE";jroberto;M
usp2021bvqs;2021-01-27T01:50:02.839Z;-38.522;-4.350;0.0;1.5;mR;"Chorozinho/CE";jroberto;M
usp2021btzs;2021-01-26T04:06:03.401Z;-40.038;-3.843;0.0;1.9;mR;"Forquilha/CE";jroberto;M
usp2021bsjh;2021-01-25T06:40:10.0Z;-40.560;-11.176;0.0;1.1;MLv;"Jacobina/BA";jroberto;M
usp2021bsif;2021-01-25T06:07:54.509Z;-40.589;-11.190;0.0;2.6;mR;"Jacobina/BA";jroberto;M
usp2021bqjg;2021-01-24T04:23:30.6Z;-36.934;-10.106;0.0;1.8;mR;"Canhoba/SE";jroberto;M
usp2021bnrg;2021-01-22T17:01:13.613Z;-37.488;-5.687;0.0;2.4;mR;"Caraubas/RN";jroberto;M
usp2021bmrw;2021-01-22T04:11:55.0Z;-45.718;-19.390;0.0;3.0;mR;"Dores do Indaia/MG";jroberto;M
usp2021beoc;2021-01-17T17:12:06.21Z;-48.678;-13.161;0.0;3.2;mR;"Montividiu do Norte/GO";marcelo;M
usp2021bbhu;2021-01-15T22:36:37.7Z;-39.380;-5.129;0.0;1.9;mR;"Quixeramobim/CE";jroberto;M
usp2021apva;2021-01-09T15:39:11.687Z;-58.422;-25.434;0.0;2.2;mR;"Northeastern Argentina";jroberto;M
usp2021amdq;2021-01-07T15:27:44.690Z;-40.104;-3.715;0.0;2.1;mR;"Sobral/CE";jroberto;M
usp2021alen;2021-01-07T02:46:29.358Z;-40.318;-3.540;0.0;2.2;mR;"Massape/CE";jroberto;M
usp2020zrtp;2020-12-31T11:36:07.263Z;-61.627;-17.489;0.0;3.5;mR;"Central Bolivia";jroberto;M
usp2020zmuh;2020-12-28T18:16:53.909Z;-57.058;-7.337;0.0;3.4;mR;"Jacareacanga-PA";jroberto;M
usp2020zick;2020-12-26T04:42:10.429Z;-56.872;-27.010;0.0;3.3;mR;"Paraguay";jroberto;M
usp2020zeuh;2020-12-24T09:10:51.890Z;-35.971;-8.257;0.0;1.7;mR;"Caruaru/PE";jroberto;M
usp2020yztv;2020-12-21T15:17:07.0Z;-35.973;-8.277;0.0;1.9;mR;"Caruaru/PE";jroberto;M
usp2020ywvz;2020-12-20T00:57:30.500Z;-48.649;-20.917;0.0;2.1;mR;"Monte Azul Paulista/SP";jroberto;M
usp2020ycwd;2020-12-09T02:18:59.687Z;-40.529;-11.184;0.0;3.2;mR;"Jacobina/BA";jroberto;M
usp2020ycvt;2020-12-09T02:07:42.800Z;-40.521;-11.183;0.0;3.0;mR;"Jacobina/BA";jroberto;M
usp2020xuce;2020-12-04T07:08:24.46Z;-44.734;-2.797;0.0;3.7;mR;"Bacurituba/MA";bruno;M
usp2020xrow;2020-12-02T22:08:30.497Z;-47.739;-21.337;0.0;2.3;mR;"Cravinhos/SP";jroberto;M
usp2020xpbu;2020-12-01T13:15:34.840Z;-42.303;-21.214;0.0;2.2;mR;"Barao de Monte Alto/MG";jroberto;M
usp2020xlpj;2020-11-29T15:35:16.428Z;-40.108;-10.001;0.0;2.5;mR;"Jaguarari/BA";jroberto;M
usp2020wvka;2020-11-20T18:41:59.526Z;-55.648;-10.266;0.0;2.8;mR;"Nova Guarita/MT";jroberto;M
usp2020wvid;2020-11-20T17:44:48.758Z;-35.970;-8.278;0.0;1.8;mR;"Caruaru/PE";jroberto;M
usp2020wpfq;2020-11-17T09:40:56.890Z;-35.975;-8.255;0.0;2.0;mR;"Caruaru/PE";jroberto;M
usp2020wgby;2020-11-12T09:35:30.519Z;-35.965;-8.266;0.0;1.9;mR;"Caruaru/PE";jroberto;M
usp2020vxli;2020-11-07T16:06:32.0Z;-51.928;-29.391;0.0;1.9;mR;"Arroio do Meio/RS";scolv@seisvl;M
usp2020vnkb;2020-11-02T04:06:39.297Z;-40.785;-18.036;0.0;2.1;mR;"Ponto Belo/ES";cleusa;M
usp2020vllf;2020-11-01T02:25:09.798Z;-35.936;-8.259;0.0;1.3;mR;"Caruaru/PE";jroberto;M
usp2020vlio;2020-11-01T01:04:18.81Z;-35.968;-8.258;0.0;1.5;mR;"Caruaru/PE";jroberto;M
usp2020vlin;2020-11-01T01:03:13.83Z;-35.973;-8.260;0.0;1.5;mR;"Caruaru/PE";jroberto;M
usp2020vhgj;2020-10-29T19:25:34.624Z;-35.890;-5.743;0.0;2.2;mR;"Riachuelo/RN";jroberto;M
usp2020vhel;2020-10-29T18:27:32.174Z;-40.455;-3.899;0.0;2.0;MLv;"Carire/CE";jroberto;M
usp2020vemc;2020-10-28T06:54:45.908Z;-45.394;-19.294;0.0;2.3;mR;"Abaete/MG";jroberto;M
usp2020ulwb;2020-10-18T02:21:17.59Z;-46.732;-20.948;0.0;2.2;mR;"Jacui/MG";jroberto;M
usp2020uldj;2020-10-17T16:54:29.994Z;-39.554;-20.512;0.0;3.4;mR;"Vila Velha/ES";marcelo;M
usp2020ujuk;2020-10-16T23:14:50.296Z;-45.411;-19.271;0.0;2.9;mR;"Abaete/MG";jroberto;M
usp2020uhkg;2020-10-15T15:51:24.787Z;-35.193;-8.805;0.0;2.1;mR;"Barreiros/PE";jroberto;M
usp2020uhil;2020-10-15T14:56:15.27Z;-40.713;-3.545;0.0;2.1;MLv;"Coreau/CE";jroberto;M
usp2020udbt;2020-10-13T07:01:04.977Z;-36.061;-5.533;0.0;2.1;mR;"Pedra Preta/RN";jroberto;M
usp2020ucdu;2020-10-12T18:54:18.821Z;-35.969;-8.258;0.0;1.6;mR;"Caruaru/PE";jroberto;M
usp2020tyzc;2020-10-11T01:07:58.754Z;-50.330;-8.283;0.0;2.9;mR;"Redencao/PA";jroberto;M
usp2020temx;2020-09-29T20:15:12.117Z;-40.693;-3.612;0.0;1.9;MLv;"Coreau/CE";jroberto;M
usp2020temn;2020-09-29T20:02:51.520Z;-35.935;-5.867;0.0;2.3;mR;"Ruy Barbosa/RN";jroberto;M
usp2020teme;2020-09-29T19:52:57.450Z;-35.964;-5.452;0.0;1.6;MLv;"Joao Camara/RN";jroberto;M
usp2020tddv;2020-09-29T02:30:53.983Z;-40.655;-2.956;0.0;1.5;MLv;"Camocim/CE";jroberto;M
usp2020tdds;2020-09-29T02:28:00.642Z;-40.662;-2.946;0.0;2.0;MLv;"Camocim/CE";jroberto;M
usp2020sxyi;2020-09-26T06:03:19.902Z;-36.051;-5.529;0.0;2.0;mR;"Pedra Preta/RN";jroberto;M
usp2020sxwf;2020-09-26T04:59:48.62Z;-36.037;-5.528;0.0;1.6;MLv;"Pedra Preta/RN";jroberto;M
usp2020sxdy;2020-09-25T19:45:56.854Z;-53.337;-16.940;0.0;2.2;mR;"Alto Garcas/MT";jroberto;M
usp2020sxdw;2020-09-25T19:43:37.660Z;-53.319;-16.969;0.0;2.4;mR;"Alto Garcas/MT";jroberto;M
usp2020svsl;2020-09-25T00:49:34.521Z;-50.516;-21.915;0.0;2.4;mR;"Tupa/SP";jroberto;M
usp2020stqk;2020-09-23T21:30:44.611Z;-54.170;-19.986;0.0;2.4;mR;"Bandeirantes/MS";marcelo;M
